CPS_Aspect,CPS_Concern1,CPS_Concern2,CPS_Concern3,CPS_Concern4,Level,Pad,To Pad,Sum,Satisfied,Aspect Tree
Data,OperationsOnData,Storage,,,3,1,1,1,TRUE,Data
Data,,,,,1,1,1,26,FALSE,Data
Data,Identity,,,,2,1,1,10,FALSE,Data
Data,Identity,Verification,,,3,1,1,1,TRUE,Data
Data,,,,,1,1,1,26,FALSE,Data
Data,Identity,,,,2,1,1,10,FALSE,Data
Data,Identity,Authorization,,,3,1,1,1,TRUE,Data
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,Communication,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,Measurability,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,Actuation,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,StatesAndModes,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,Sensing,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,Monitorability,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,Functionality,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,Uncertainty,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,PhysicalContext,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,Performance,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,Physical,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,Manageability,,,,2,1,1,1,TRUE,Functional
Functional,,,,,1,1,1,13,TRUE,Functional
Functional,Controllability,,,,2,1,1,1,TRUE,Functional
Human,,,,,1,1,1,2,TRUE,Human
Human,HumanFactors,,,,2,1,1,1,TRUE,Human
Human,,,,,1,1,1,2,TRUE,Human
Human,Usability,,,,2,1,1,1,TRUE,Human
Lifecycle,,,,,1,1,1,9,TRUE,Lifecycle
Lifecycle,Procureability,,,,2,1,1,1,TRUE,Lifecycle
Lifecycle,,,,,1,1,1,9,TRUE,Lifecycle
Lifecycle,Engineerability,,,,2,1,1,1,TRUE,Lifecycle
Lifecycle,,,,,1,1,1,9,TRUE,Lifecycle
Lifecycle,Maintainability,,,,2,1,1,3,TRUE,Lifecycle
Lifecycle,Maintainability,ConfigurationForLeastFFunctionality,,,3,1,1,1,TRUE,Lifecycle
Lifecycle,,,,,1,1,1,9,TRUE,Lifecycle
Lifecycle,Producibility,,,,2,1,1,1,TRUE,Lifecycle
Lifecycle,,,,,1,1,1,9,TRUE,Lifecycle
Lifecycle,Deployability,,,,2,1,1,1,TRUE,Lifecycle
Lifecycle,,,,,1,1,1,9,TRUE,Lifecycle
Lifecycle,Disposability,,,,2,1,1,1,TRUE,Lifecycle
Lifecycle,,,,,1,1,1,9,TRUE,Lifecycle
Lifecycle,Maintainability,,,,2,1,1,3,TRUE,Lifecycle
Lifecycle,Maintainability,ComponentInventory,,,3,1,1,1,TRUE,Lifecycle
Lifecycle,,,,,1,1,1,9,TRUE,Lifecycle
Lifecycle,Maintainability,,,,2,1,1,3,TRUE,Lifecycle
Lifecycle,Maintainability,ConfigurationManagement,,,3,1,1,1,TRUE,Lifecycle
Lifecycle,,,,,1,1,1,9,TRUE,Lifecycle
Lifecycle,Operatability,,,,2,1,1,1,TRUE,Lifecycle
Timing,,,,,1,1,1,5,TRUE,Timing
Timing,TimeAwareness,,,,2,1,1,1,TRUE,Timing
Timing,,,,,1,1,1,5,TRUE,Timing
Timing,Synchronization,,,,2,1,1,1,TRUE,Timing
Timing,,,,,1,1,1,5,TRUE,Timing
Timing,TimeIntervalAndLatencyControl,,,,2,1,1,1,TRUE,Timing
Timing,,,,,1,1,1,5,TRUE,Timing
Timing,ManagingTimingAndLatency,,,,2,1,1,1,TRUE,Timing
Timing,,,,,1,1,1,5,TRUE,Timing
Timing,LogicalTime,,,,2,1,1,1,TRUE,Timing
Trustworthiness,,,,,1,1,1,15,FALSE,Trustworthiness
