CPS_Aspect,CPS_Concern,CPS_Concern,CPS_Concern,CPS_Concern,Level,Pad,To Pad,Sum,Satisfied,Aspect Tree
Functional,Sensing,,,,2,1,1,1,True,Functional
Functional,,,,,1,1,1,13,True,Functional
Functional,Monitorability,,,,2,1,1,1,True,Functional
Functional,,,,,1,1,1,13,True,Functional
Functional,Functionality,,,,2,1,1,1,True,Functional
Functional,,,,,1,1,1,13,True,Functional
Functional,Uncertainty,,,,2,1,1,1,True,Functional
Functional,,,,,1,1,1,13,True,Functional
Functional,PhysicalContext,,,,2,1,1,1,True,Functional
Functional,,,,,1,1,1,13,True,Functional
Functional,Performance,,,,2,1,1,1,True,Functional
Functional,,,,,1,1,1,13,True,Functional
Functional,Physical,,,,2,1,1,1,True,Functional
Functional,,,,,1,1,1,13,True,Functional
Functional,Manageability,,,,2,1,1,1,True,Functional
Functional,,,,,1,1,1,13,True,Functional
Functional,Controllability,,,,2,1,1,1,True,Functional
Human,,,,,1,1,1,2,True,Human
Human,HumanFactors,,,,2,1,1,1,True,Human
Human,,,,,1,1,1,2,True,Human
Human,Usability,,,,2,1,1,1,True,Human
Lifecycle,,,,,1,1,1,9,True,Lifecycle
Lifecycle,Procureability,,,,2,1,1,1,True,Lifecycle
Lifecycle,,,,,1,1,1,9,True,Lifecycle
Lifecycle,Engineerability,,,,2,1,1,1,True,Lifecycle
Lifecycle,,,,,1,1,1,9,True,Lifecycle
Lifecycle,Maintainability,,,,2,1,1,3,True,Lifecycle
Lifecycle,Maintainability,ConfigurationForLeastFFunctionality,,,3,1,1,1,True,Lifecycle
Lifecycle,,,,,1,1,1,9,True,Lifecycle
Lifecycle,Producibility,,,,2,1,1,1,True,Lifecycle
Lifecycle,,,,,1,1,1,9,True,Lifecycle
Lifecycle,Deployability,,,,2,1,1,1,True,Lifecycle
Lifecycle,,,,,1,1,1,9,True,Lifecycle
Lifecycle,Disposability,,,,2,1,1,1,True,Lifecycle
Lifecycle,,,,,1,1,1,9,True,Lifecycle
Lifecycle,Maintainability,,,,2,1,1,3,True,Lifecycle
Lifecycle,Maintainability,ComponentInventory,,,3,1,1,1,True,Lifecycle
Lifecycle,,,,,1,1,1,9,True,Lifecycle
Lifecycle,Maintainability,,,,2,1,1,3,True,Lifecycle
Lifecycle,Maintainability,ConfigurationManagement,,,3,1,1,1,True,Lifecycle
Lifecycle,,,,,1,1,1,9,True,Lifecycle
Lifecycle,Operatability,,,,2,1,1,1,True,Lifecycle
Timing,,,,,1,1,1,5,True,Timing
Timing,TimeAwareness,,,,2,1,1,1,True,Timing
Timing,,,,,1,1,1,5,True,Timing
Timing,Synchronization,,,,2,1,1,1,True,Timing
Timing,,,,,1,1,1,5,True,Timing
Timing,TimeIntervalAndLatencyControl,,,,2,1,1,1,True,Timing
Timing,,,,,1,1,1,5,True,Timing
Timing,ManagingTimingAndLatency,,,,2,1,1,1,True,Timing
Timing,,,,,1,1,1,5,True,Timing
Timing,LogicalTime,,,,2,1,1,1,True,Timing
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Privacy,,,,2,1,1,3,False,Trustworthiness
Trustworthiness,Privacy,Manageability,,,3,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Security,,,,2,1,1,6,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,,,3,1,1,4,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,Confidentiality,,4,1,1,2,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,Confidentiality,Verification,5,1,1,1,False,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Safety,,,,2,1,1,4,True,Trustworthiness
Trustworthiness,Safety,Functional_Safety,,,3,1,1,3,True,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,,4,1,1,3,True,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,Severity,5,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Security,,,,2,1,1,6,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,,,3,1,1,4,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,Integrity,,4,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Security,,,,2,1,1,6,False,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,,,3,1,1,2,True,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,Physical_Integrity,,4,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Security,,,,2,1,1,6,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,,,3,1,1,4,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,Confidentiality,,4,1,1,2,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,Confidentiality,Encryption,5,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Reliability,,,,2,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Safety,,,,2,1,1,4,True,Trustworthiness
Trustworthiness,Safety,Functional_Safety,,,3,1,1,3,True,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,,4,1,1,3,True,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,Frequency,5,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Privacy,,,,2,1,1,3,False,Trustworthiness
Trustworthiness,Privacy,Dissociability,,,3,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Resilience,,,,2,1,1,1,True,Trustworthiness
Trustworthiness,,,,,1,1,1,15,False,Trustworthiness
Trustworthiness,Security,,,,2,1,1,6,False,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,,,3,1,1,2,True,Trustworthiness
